N,Streamflow (Coxs),ST-63036,ST-63049,ST-63132,ST-63146,ST-63246,Streamflow (212260 - KOWMUNG),ST-63036(d-1),ST-63049(d-1),ST-63132(d-1),ST-63146(d-1),ST-63246(d-1),Streamflow (212260 – KOWMUNG)(d-1),ST-63036(d-2),ST-63049(d-2),ST-63132(d-2),ST-63146(d-2),ST-63246(d-2),Streamflow (212260 – KOWMUNG)(d-2)
1,0.00830652404343434,0.0161290322580645,0,0,0,0.0108571428571429,0.014714020642928,0.0032258064516129,0.00459770114942529,0,0,0,0.0176387270972859,0.00645161290322581,0,0,0,0.00342857142857143,0.0231128507083041
2,0.00754712022798779,0.0112903225806452,0.00689655172413793,0.130081300813008,0.032183908045977,0,0.0126849604098739,0.0161290322580645,0,0,0,0.0108571428571429,0.014714020642928,0.0032258064516129,0.00459770114942529,0,0,0,0.0176387270972859
3,0.00705653305686796,0.00161290322580645,0.0229885057471264,0,0,0.00571428571428571,0.0112925063593939,0.0112903225806452,0.00689655172413793,0.130081300813008,0.032183908045977,0,0.0126849604098739,0.0161290322580645,0,0,0,0.0108571428571429,0.014714020642928
4,0.00622851497872429,0,0,0,0,0,0.0099161203374338,0.00161290322580645,0.0229885057471264,0,0,0.00571428571428571,0.0112925063593939,0.0112903225806452,0.00689655172413793,0.130081300813008,0.032183908045977,0,0.0126849604098739
5,0.00559602030866804,0,0.00689655172413793,0,0,0.008,0.0084145077774137,0,0,0,0,0,0.0099161203374338,0.00161290322580645,0.0229885057471264,0,0,0.00571428571428571,0.0112925063593939
6,0.0054618363208526,0.0129032258064516,0.00689655172413793,0,0.0114942528735632,0.0348571428571429,0.0071980214076881,0,0.00689655172413793,0,0,0.008,0.0084145077774137,0,0,0,0,0,0.0099161203374338
7,0.00535957190596866,0,0,0,0,0,0.00648061971328522,0.0129032258064516,0.00689655172413793,0,0.0114942528735632,0.0348571428571429,0.0071980214076881,0,0.00689655172413793,0,0,0.008,0.0084145077774137
8,0.00504617682193541,0,0.00229885057471264,0,0,0,0.00598368177861496,0,0,0,0,0,0.00648061971328522,0.0129032258064516,0.00689655172413793,0,0.0114942528735632,0.0348571428571429,0.0071980214076881
9,0.00460167433542952,0.0193548387096774,0.0689655172413793,0.00542005420054201,0.0229885057471264,0.0662857142857143,0.00554412036683765,0,0.00229885057471264,0,0,0,0.00598368177861496,0,0,0,0,0,0.00648061971328522
10,0.00447848273066178,0.00161290322580645,0.0114942528735632,0.016260162601626,0.0344827586206897,0.032,0.00537179563991769,0.0193548387096774,0.0689655172413793,0.00542005420054201,0.0229885057471264,0.0662857142857143,0.00554412036683765,0,0.00229885057471264,0,0,0,0.00598368177861496
11,0.00442281576461558,0.00161290322580645,0.0137931034482759,0,0,0.0217142857142857,0.00537426764430537,0.00161290322580645,0.0114942528735632,0.016260162601626,0.0344827586206897,0.032,0.00537179563991769,0.0193548387096774,0.0689655172413793,0.00542005420054201,0.0229885057471264,0.0662857142857143,0.00554412036683765
12,0.0041164070931316,0,0,0,0,0.00914285714285714,0.00558152569638803,0.00161290322580645,0.0137931034482759,0,0,0.0217142857142857,0.00537426764430537,0.00161290322580645,0.0114942528735632,0.016260162601626,0.0344827586206897,0.032,0.00537179563991769
13,0.00378833413319211,0,0.00229885057471264,0,0,0,0.00536483499598397,0,0,0,0,0.00914285714285714,0.00558152569638803,0.00161290322580645,0.0137931034482759,0,0,0.0217142857142857,0.00537426764430537
14,0.00348509819034289,0.0032258064516129,0.00689655172413793,0.002710027100271,0,0.00685714285714286,0.0048802570832521,0,0.00229885057471264,0,0,0,0.00536483499598397,0,0,0,0,0.00914285714285714,0.00558152569638803
15,0.00338276967993097,0.0032258064516129,0,0,0,0.04,0.00461854988189349,0.0032258064516129,0.00689655172413793,0.002710027100271,0,0.00685714285714286,0.0048802570832521,0,0.00229885057471264,0,0,0,0.00536483499598397
16,0.00343151432895588,0,0,0,0,0,0.00438956421229808,0.0032258064516129,0,0,0,0.04,0.00461854988189349,0.0032258064516129,0.00689655172413793,0.002710027100271,0,0.00685714285714286,0.0048802570832521
17,0.00325807183025581,0,0,0,0,0,0.00414359977572415,0,0,0,0,0,0.00438956421229808,0.0032258064516129,0,0,0,0.04,0.00461854988189349
18,0.00288250408408692,0,0,0,0,0,0.00394753079613308,0,0,0,0,0,0.00414359977572415,0,0,0,0,0,0.00438956421229808
19,0.00257888356806985,0,0,0,0,0,0.00369577666507222,0,0,0,0,0,0.00394753079613308,0,0,0,0,0,0.00414359977572415
20,0.00222232014594552,0,0,0,0,0,0.00339393191878737,0,0,0,0,0,0.00369577666507222,0,0,0,0,0,0.00394753079613308
21,0.00201285596052356,0,0,0,0,0.00685714285714286,0.0031996193633665,0,0,0,0,0,0.00339393191878737,0,0,0,0,0,0.00369577666507222
